ID;item;crit;img;training;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
1;China;78;c_1.png;0;-0,195777971;0,351923291;-0,148973363;0,491946922;0,360079105;-0,111223619;-0,218834844;-0,208312471;-0,266884667;-0,01096961
2;India;72,2;c_2.png;0;0,0328782;0,320295433;-0,119974838;0,440877423;0,41264122;0,111822537;-0,039847831;0,129528857;-0,212480416;-0,295114872
3;United States;79,5;c_3.png;0;-0,528392998;-0,058236756;0,048887059;-0,207149312;0,237762201;0,456764718;-0,154473466;-0,124990622;-0,205178134;0,055065151
4;Nigeria;54,6;c_4.png;1;0,456580754;0,437979057;-0,053558532;-0,379796816;0,075442982;0,10056017;0,006091809;-0,008254022;-0,136477746;0,032607017
5;Brazil;76;c_5.png;0;-0,025938525;-0,363749364;-0,445680054;-0,121965698;0,104104485;0,046055186;-0,129025692;0,135959112;-0,073909269;0,040447395
6;Russia;73,3;c_6.png;0;-0,536026973;0,361608611;-0,112495399;0,078900952;-0,227517286;-0,075603342;0,089565478;-0,216212856;-0,342348279;-0,002699503
7;Mexico;75,3;c_7.png;0;-0,083645645;-0,382651983;-0,387894938;-0,081531212;-0,017413319;0,249984844;-0,136249384;0,022157672;-0,069526066;0,078111205
8;Ethiopia;67,6;c_8.png;0;0,424008204;0,458064239;-0,077549143;-0,222159881;-0,01024931;0,097052689;0,191426641;0,072609548;0,000095548;-0,206283337
9;Egypt;71,8;c_9.png;1;0,208913354;0,501959343;-0,132380078;-0,082583025;-0,232213865;0,224352852;-0,018034474;0,307440765;0,027011697;-0,107034874
10;Vietnam;74,7;c_10.png;0;-0,106618188;0,228305989;-0,170530231;0,500412946;0,205536902;-0,09845929;-0,084130103;-0,413067643;-0,003486182;-0,043371641
11;Democratic Republic of the Congo;62,1;c_11.png;0;0,461894343;0,316634053;-0,005250697;-0,427596256;-0,03161279;-0,037539815;0,022026318;-0,124349669;-0,07973184;-0,085530027
12;Germany;81,5;c_12.png;0;-0,724402107;0,181457453;0,116301743;-0,193379856;0,005004656;-0,053533365;0,013634915;-0,071021932;-0,079340932;0,080256334
13;Iran;77,8;c_13.png;0;-0,048381485;0,517145152;-0,260834456;0,339505258;-0,316642469;0,37519497;0,024347074;0,101169922;0,034858848;-0,08106091
14;France;83,5;c_14.png;1;-0,574085557;0,10140973;0,171330065;-0,366062383;0,036214;-0,100513783;-0,208241126;0,032506317;0,108675811;0,048465479
15;South Africa;66,3;c_15.png;0;0,295416844;0,282590893;0,078724555;-0,43773794;0,220050411;0,019646984;0,042447957;0,093439214;-0,28260188;-0,024454233
16;Tanzania;67,2;c_16.png;0;0,35145884;0,296067795;0,053875814;-0,368290017;0,10845034;-0,095344875;0,242501425;0,135887631;-0,146231823;0,036825497
17;Colombia;77,9;c_17.png;1;-0,018184613;-0,31834346;-0,469024101;-0,174544455;0,055000455;0,038326045;0,09565477;-0,113160059;-0,006319104;0,104622905
18;Argentina;77,5;c_18.png;0;-0,204420509;-0,364893774;-0,361873669;-0,145954843;0,078055465;-0,026540432;-0,04690136;0,222490074;0,136742998;0,04100055
19;Canada;82,7;c_19.png;0;-0,562461087;0,022796552;0,146841065;-0,235079579;0,274328537;0,393517717;0,02225606;-0,038366313;-0,149468123;-0,137554753
20;Ukraine;72;c_20.png;0;-0,529791032;0,304460111;-0,098154377;0,058626982;-0,328603596;-0,122773939;0,19601463;-0,31554579;-0,036527419;0,096022066
21;Angola;64,8;c_21.png;0;0,357148072;0,415379045;-0,121498006;-0,326791255;0,028528863;-0,211607399;-0,143262513;-0,078095065;0,01427312;0,097312823
22;Peru;77,9;c_22.png;0;-0,047318974;-0,33599997;-0,43611459;0,036888805;0,086203535;-0,044276121;0,00732504;0,177361913;0,05564381;-0,131656564
23;Yemen;69,4;c_23.png;0;0,088213208;0,431990165;-0,209912503;0,360271905;-0,312886982;0,251947466;-0,060715751;0,046141581;0,105190197;0,094082567
24;Ivory Coast;62,1;c_24.png;0;0,393575597;0,170200683;0,173752842;-0,427797816;0,100581627;0,095639247;-0,083593576;-0,133842124;0,012230468;0,131090998
25;Nepal;70,6;c_25.png;0;0,004906649;0,24300974;-0,169929382;0,409392;0,328612906;-0,193725396;0,000741774;0,237524074;-0,19674265;-0,044162352
26;Venezuela;72,7;c_26.png;0;0,050049475;-0,314056116;-0,445535065;-0,070338506;0,072080232;0,028838127;0,062798313;-0,063896716;-0,17248152;-0,085230639
27;Australia;84,1;c_27.png;0;-0,475486034;-0,065726857;0,348307612;-0,059238284;0,345975502;0,30135263;0,104507512;0,005272381;-0,054104764;0,084458579
28;Taiwan;80,9;c_28.png;0;-0,100500014;0,179158302;0,061243477;0,517008671;0,340665397;0,007278338;-0,144080267;-0,349309153;0,209459678;0,098348586
29;Syria;72,6;c_29.png;0;0,023927014;0,524838183;-0,214210803;0,25286646;-0,436333178;0,213920865;0,060343622;0,082726763;0,167514077;0,076441998
